Epoch,Accuracy,Precision,Recall,F1-Score,Loss,TP,TN,FP,FN,Kappa
1,0.8287671232876712,0.8947368421052632,0.7383378016085791,0.809048178613396,0.10175287619908316,1377,1769,162,488,0.6564042849062137
2,0.839041095890411,0.8723277909738717,0.7876675603217158,0.8278388278388277,0.09432056265931235,1469,1716,215,396,0.67744987820352
3,0.8522128556375131,0.8830787309048178,0.8058981233243968,0.8427249789739276,0.09063366810752921,1503,1732,199,362,0.7038940626307031
4,0.8379873551106428,0.9200268817204301,0.7340482573726541,0.8165821652251714,0.1035691673844833,1369,1812,119,496,0.6747531398427473
5,0.8551106427818757,0.8642659279778393,0.8364611260053619,0.8501362397820165,0.08642046466014408,1560,1686,245,305,0.7099742035681591
6,0.8643308746048473,0.8817873303167421,0.8359249329758713,0.8582438755849161,0.08484464375060778,1559,1722,209,306,0.7283382349753231
7,0.8593256059009484,0.8921626399528579,0.8117962466487936,0.850084222346996,0.08564053398917171,1514,1748,183,351,0.7181322169848969
8,0.8587987355110642,0.8971906754333533,0.8048257372654155,0.8485019785189372,0.08635647103457356,1501,1759,172,364,0.717014202308275
9,0.8667017913593256,0.9100784550392276,0.8085790884718499,0.8563316297558207,0.08317465208729903,1508,1782,149,357,0.732813717588583
10,0.8709167544783983,0.908982748364069,0.8193029490616622,0.8618161308516639,0.08301272815597824,1528,1778,153,337,0.7413192932995072
11,0.8669652265542677,0.8917050691244239,0.8300268096514746,0.8597611774507082,0.08505626893489454,1548,1743,188,317,0.7335350166719581
12,0.8685458377239199,0.9089820359281438,0.8139410187667561,0.8588401697312589,0.08371163989457492,1518,1779,152,347,0.7365414144561153
13,0.869072708113804,0.894919168591224,0.8310991957104558,0.8618293021962747,0.0868055057271263,1550,1749,182,315,0.7377466203085634
14,0.874868282402529,0.9131985731272295,0.8235924932975871,0.8660840146602763,0.08496366605335343,1536,1785,146,329,0.7492403921145414
15,0.8727608008429927,0.9036214953271028,0.8294906166219839,0.8649706457925636,0.09020631402354094,1547,1766,165,318,0.7450872655137301
16,0.8638040042149632,0.8969375736160189,0.8166219839142091,0.8548975582374404,0.08353882490238224,1523,1756,175,342,0.7271080403714997
17,0.8798735511064278,0.9156342182890855,0.832171581769437,0.8719101123595504,0.0850359376900691,1552,1788,143,313,0.7592994975950474
18,0.8883034773445733,0.9054586381541925,0.8627345844504022,0.8835804503020318,0.08400547259474454,1609,1763,168,256,0.7763590651540361
19,0.8864594309799789,0.904627539503386,0.8595174262734584,0.881495738245807,0.08642227784018999,1603,1762,169,262,0.772656455395212
20,0.886986301369863,0.9169570267131243,0.8466487935656837,0.8804014496793978,0.08876348826622059,1579,1788,143,286,0.7736076000751821
21,0.8898840885142255,0.9170028818443804,0.853083109919571,0.883888888888889,0.08971094471982458,1591,1787,144,274,0.7794388418206712
22,0.8835616438356164,0.9017504234895539,0.8563002680965147,0.8784378437843784,0.08875203050586647,1597,1757,174,268,0.7668520457238079
23,0.8846153846153846,0.9024252679075014,0.8579088471849866,0.8796041781198461,0.09104104005624673,1600,1758,173,265,0.7689662196844658
24,0.8848788198103267,0.9136732329084588,0.8455764075067024,0.8783068783068783,0.09267165832166552,1577,1782,149,288,0.7693942939249229
25,0.8864594309799789,0.9130184331797235,0.8498659517426274,0.8803110247153568,0.0915273771993227,1585,1780,151,280,0.772581370664582
