Epoch,Accuracy,Precision,Recall,F1-Score,Loss,Kappa
1,0.6346456692913386,0.6722568067914172,0.6937428997985289,0.6828308736859426,0.04193970507054817,0.45895522388059695
2,0.8322834645669291,0.7259198392751388,0.7826776887251511,0.7532310658850419,0.03351917719747138,0.707718538495449
3,0.7763779527559055,0.7011141651679166,0.7957874301448561,0.7454569378297085,0.030433329634779082,0.6363262375878229
4,0.8385826771653543,0.7457879563139659,0.8279516106224937,0.7847249349077805,0.030614176715218176,0.7272062398363761
5,0.8433070866141732,0.7397738923965248,0.8154950814366485,0.7757911728126864,0.028595347127576512,0.7335465832222803
6,0.8007874015748031,0.7168132757703608,0.7954676926497178,0.7540950583190109,0.030236696959363193,0.6680626952511611
7,0.8606299212598425,0.7562381449902672,0.8282659288380536,0.7906149311055624,0.026423293522258442,0.7607252646189743
8,0.8472440944881889,0.7484778342891393,0.8384124585960739,0.7908966915539817,0.025625354227587934,0.7419153447134441
9,0.8669291338582678,0.7751829969713392,0.8734627205237192,0.8213935137830429,0.01939053327197165,0.7723376992562232
10,0.7834645669291339,0.7204340104868954,0.7910052309911206,0.7540720860492953,0.029356305507987034,0.6451706635130796
11,0.8803149606299212,0.7870711364334936,0.8601276378973498,0.8219792874879233,0.021617700200615906,0.7926771115703012
12,0.8661417322834646,0.7681885070207803,0.8517675799539085,0.8078219784283813,0.02472766159087654,0.769397721106891
13,0.9102362204724409,0.8334066904522998,0.864282082828269,0.8485636255639983,0.026278900214302257,0.8399180904278138
14,0.9015748031496063,0.8139402298850574,0.8906625056681884,0.8505747755687815,0.019043996783457404,0.828659931787765
15,0.8401574803149606,0.7581587190707713,0.8662991890993333,0.8086294883189089,0.02195432876625399,0.7355686387133831
16,0.8992125984251969,0.820507301388349,0.8780359623392836,0.8482974009150136,0.022938036232248066,0.8231944208790682
17,0.8724409448818897,0.7847257781644243,0.8832243554019,0.8310667155313586,0.020050515306336204,0.7819210955883912
18,0.8874015748031496,0.794833673022964,0.8788255387709124,0.8347220581171665,0.026932197639087992,0.8046271553300716
19,0.8929133858267716,0.7983889580971981,0.8876651399421825,0.8406634722358591,0.021413904437281955,0.8146566340305529
20,0.9062992125984252,0.8394815358809741,0.8898135692207102,0.8639150825482849,0.019568829021350605,0.8352727542247258
21,0.926771653543307,0.852942756908632,0.913214774619724,0.8820503421796118,0.015423458974485792,0.8708124237081243
22,0.9401574803149606,0.8855394191175071,0.9215391661417528,0.9031807078407942,0.017314358458920258,0.8936442172073342
23,0.9433070866141732,0.885229102620407,0.929081543017611,0.9066253594046914,0.01830956784964312,0.8993062438057483
24,0.9464566929133859,0.9008497226703766,0.9186525805727145,0.9096640558951686,0.02044563082846131,0.9040794021734301
25,0.9456692913385827,0.889703713716912,0.9330778206026894,0.9108747115841003,0.019538403126066476,0.903367738520577
